Date : 2025-06-25 08:54:07
Directory : c:\Users\86139\Desktop\appdevelopment\smart-qto-system\frontend
Total : 523 files,  -67138 codes, -5266 comments, -17308 blanks, all -89712 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| TypeScript JSX     |         35 |      7,587 |        342 |        766 |      8,695 |
| JSON               |         29 |      3,044 |          0 |          2 |      3,046 |
| TypeScript         |         12 |      2,388 |        247 |        317 |      2,952 |
| CSS                |          8 |      1,783 |         60 |        339 |      2,182 |
| JavaScript         |          3 |         58 |          4 |          3 |         65 |
| JSON with Comments |          1 |         42 |          0 |          1 |         43 |
| XML                |          2 |         29 |          7 |          5 |         41 |
| pip requirements   |          1 |        -36 |        -14 |        -14 |        -64 |
| HTML               |          1 |        -90 |          0 |        -10 |       -100 |
| Ini                |          1 |        -92 |          0 |        -25 |       -117 |
| Batch              |          4 |       -112 |        -11 |        -25 |       -148 |
| PowerShell         |          5 |       -256 |        -31 |        -50 |       -337 |
| Markdown           |        103 |    -20,183 |          0 |     -4,608 |    -24,791 |
| Python             |        318 |    -61,300 |     -5,870 |    -14,009 |    -81,179 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                      | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                         |        523 |    -67,138 |     -5,266 |    -17,308 |    -89,712 |
| . (Files)                                                                                                                                                 |          9 |      8,030 |          9 |         26 |      8,065 |
| ..                                                                                                                                                        |        458 |    -86,955 |     -5,926 |    -18,759 |   -111,640 |
| ..\backend                                                                                                                                                |        458 |    -86,955 |     -5,926 |    -18,759 |   -111,640 |
| ..\backend (Files)                                                                                                                                        |        281 |    -43,118 |     -1,920 |     -9,050 |    -54,088 |
| ..\backend\alembic                                                                                                                                        |          5 |       -207 |        -28 |        -62 |       -297 |
| ..\backend\alembic (Files)                                                                                                                                |          1 |        -52 |        -12 |        -23 |        -87 |
| ..\backend\alembic\versions                                                                                                                               |          4 |       -155 |        -16 |        -39 |       -210 |
| ..\backend\api                                                                                                                                            |          1 |       -310 |        -12 |        -34 |       -356 |
| ..\backend\api\v1                                                                                                                                         |          1 |       -310 |        -12 |        -34 |       -356 |
| ..\backend\api\v1\endpoints                                                                                                                               |          1 |       -310 |        -12 |        -34 |       -356 |
| ..\backend\app                                                                                                                                            |        156 |    -40,989 |     -3,880 |     -9,334 |    -54,203 |
| ..\backend\app (Files)                                                                                                                                    |          3 |       -226 |        -28 |        -36 |       -290 |
| ..\backend\app\api                                                                                                                                        |         23 |     -4,859 |       -351 |       -820 |     -6,030 |
| ..\backend\app\api (Files)                                                                                                                                |          1 |       -107 |         -5 |        -14 |       -126 |
| ..\backend\app\api\v1                                                                                                                                     |         22 |     -4,752 |       -346 |       -806 |     -5,904 |
| ..\backend\app\api\v1 (Files)                                                                                                                             |          4 |       -706 |        -71 |       -111 |       -888 |
| ..\backend\app\api\v1\drawings                                                                                                                            |          9 |     -1,639 |       -125 |       -281 |     -2,045 |
| ..\backend\app\api\v1\endpoints                                                                                                                           |          9 |     -2,407 |       -150 |       -414 |     -2,971 |
| ..\backend\app\config                                                                                                                                     |          2 |       -158 |        -10 |        -29 |       -197 |
