"filename", "language", "JSON with Comments", "JavaScript", "TypeScript", "CSS", "TypeScript JSX", "JSON", "Markdown", "XML", "comment", "blank", "total"
"c:\Users\86139\Desktop\appdevelopment\smart-qto-system\frontend\components\TaskProgressMonitor.tsx", "TypeScript JSX", 0, 0, 0, 0, 285, 0, 0, 0, 6, 22, 313
"c:\Users\86139\Desktop\appdevelopment\smart-qto-system\frontend\debug_instructions.md", "Markdown", 0, 0, 0, 0, 0, 0, 53, 0, 0, 18, 71
"c:\Users\86139\Desktop\appdevelopment\smart-qto-system\frontend\next-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 5, 2, 7
"c:\Users\86139\Desktop\appdevelopment\smart-qto-system\frontend\next.config.js", "JavaScript", 0, 26, 0, 0, 0, 0, 0, 0, 3, 3, 32
"c:\Users\86139\Desktop\appdevelopment\smart-qto-system\frontend\package-lock.json", "JSON", 0, 0, 0, 0, 0, 7808, 0, 0, 0, 1, 7809
"c:\Users\86139\Desktop\appdevelopment\smart-qto-system\frontend\package.json", "JSON", 0, 0, 0, 0, 0, 68, 0, 0, 0, 1, 69
"c:\Users\86139\Desktop\appdevelopment\smart-qto-system\frontend\postcss.config.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 6
"c:\Users\86139\Desktop\appdevelopment\smart-qto-system\frontend\public\apple-touch-icon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 12
"c:\Users\86139\Desktop\appdevelopment\smart-qto-system\frontend\public\favicon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 17, 7, 5, 29
"c:\Users\86139\Desktop\appdevelopment\smart-qto-system\frontend\src\App.tsx", "TypeScript JSX", 0, 0, 0, 0, 29, 0, 0, 0, 0, 3, 32
"c:\Users\86139\Desktop\appdevelopment\smart-qto-system\frontend\src\components\DrawingDetail.tsx", "TypeScript JSX", 0, 0, 0, 0, 115, 0, 0, 0, 9, 12, 136
"c:\Users\86139\Desktop\appdevelopment\smart-qto-system\frontend\src\components\DrawingInfo.tsx", "TypeScript JSX", 0, 0, 0, 0, 47, 0, 0, 0, 0, 3, 50
"c:\Users\86139\Desktop\appdevelopment\smart-qto-system\frontend\src\components\DrawingList.tsx", "TypeScript JSX", 0, 0, 0, 0, 166, 0, 0, 0, 0, 13, 179
