"filename", "language", "Markdown", "Python", "comment", "blank", "total"
"c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\Step_2_5_和Vision流程问题修复完成报告.md", "Markdown", 176, 0, 0, 56, 232
"c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\Vision分析失败问题修复完成报告.md", "Markdown", 109, 0, 0, 40, 149
"c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\Vision分析流程问题分析报告.md", "Markdown", 180, 0, 0, 50, 230
"c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\ai_analyzer_refactoring_plan.md", "Markdown", 113, 0, 0, 32, 145
"c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\app\api\v1\drawings\upload.py", "Python", 0, -1, 0, 1, 0
"c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\app\services\dwg_processing\converters\__init__.py", "Python", 0, 0, 0, -1, -1
"c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\app\services\dwg_processing\detectors\frame_detector.py", "Python", 0, 0, 0, -1, -1
"c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\app\services\dwg_processor_legacy.py", "Python", 0, -2503, -326, -501, -3330
"c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\app\services\enhanced_grid_slice_analyzer.py", "Python", 0, -23, 2, -6, -27
"c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\app\services\enhanced_slice_models.py", "Python", 0, 24, 0, 2, 26
"c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\app\services\ocr_enhancement.py", "Python", 0, 27, 1, 3, 31
"c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\app\services\test_enhanced_vision_components.py", "Python", 0, -391, -26, -109, -526
"c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\app\services\utils.py", "Python", 0, 11, 1, 1, 13
"c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\app\tasks\drawing_tasks.py", "Python", 0, 2, 1, 1, 4
"c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\app\utils\analysis_optimizations_backup.py", "Python", 0, -329, -13, -475, -817
"c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\cleanup_report.md", "Markdown", 156, 0, 0, 56, 212
"c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\cleanup_strategy.py", "Python", 0, 300, 42, 74, 416
"c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\enhanced_grid_slice_analyzer_refactoring_plan.md", "Markdown", 168, 0, 0, 43, 211
"c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\test_vision_analysis_fix.py", "Python", 0, 122, 12, 35, 169
"Total", "-", 902, -2761, -306, -699, -2864
