"filename", "language", "Python", "comment", "blank", "total"
"c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\app\services\ai\__init__.py", "Python", -60, -9, -18, -87
"c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\app\services\ai\mock_detector.py", "Python", 56, 6, 12, 74
"c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\app\services\ai\prompt_builder.py", "Python", 73, 11, 21, 105
"c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\app\services\ai_analyzer_backup.py", "Python", 1669, 164, 345, 2178
"c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\app\services\ai_analyzer_core.py", "Python", 150, 21, 40, 211
"c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\app\services\enhanced_grid_slice_analyzer.py", "Python", -4, 4, 0, 0
"c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\app\services\slice_analysis\__init__.py", "Python", 14, 0, 2, 16
"c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\app\services\slice_analysis\ocr_processor.py", "Python", 237, 17, 57, 311
"c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\app\services\slice_analysis\result_merger.py", "Python", 196, 19, 48, 263
"c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\app\services\slice_analysis\slice_analyzer_coordinator.py", "Python", 52, 5, 12, 69
"c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\app\services\slice_analysis\vision_processor.py", "Python", 241, 27, 51, 319
"Total", "-", 2624, 265, 570, 3459
